client_id,num_classes,mean_cosine,min_cosine,max_cosine
8,10,0.8430410861968994,0.7243412733078003,0.9683703184127808
13,10,0.8824473857879639,0.8389220833778381,0.9738558530807495
6,8,0.9224160835146904,0.8195364475250244,0.9665004014968872
0,10,0.9394039273262024,0.9038485288619995,0.9849110245704651
5,8,0.9442159160971642,0.889613151550293,0.9689632654190063
9,9,0.9537776973512437,0.865128755569458,0.9877438545227051
1,9,0.9601444999376932,0.9443108439445496,0.973257303237915
4,10,0.9606658339500427,0.9323807954788208,0.9787613153457642
7,8,0.9629150480031967,0.9377273917198181,0.9769535660743713
2,9,0.9633140563964844,0.9216088056564331,0.9783935546875
14,10,0.9641224563121795,0.941131591796875,0.9846658706665039
12,10,0.9673092424869537,0.9535054564476013,0.9732905030250549
11,9,0.9739829103151957,0.9254693984985352,0.9859907031059265
10,8,0.9742476344108582,0.9680772423744202,0.9824826717376709
3,9,0.9797528253661262,0.9536706209182739,0.9905510544776917
