seed,alpha,client_id,acc_global,acc_local_prop,acc_local_aware,avg_tests_acc,num_samples
42,0.1,0,0.1742,0.8802867383512545,0.21775,0.4240789127837514,5247
42,0.1,1,0.2138,0.7080554130323242,0.35633333333333334,0.4260629154552192,9109
42,0.1,2,0.1626,0.9278350515463918,0.18066666666666667,0.4237005727376862,4923
42,0.1,3,0.1754,0.8352769679300291,0.3508,0.4538256559766764,2950
42,0.1,4,0.1513,0.9352112676056338,0.37825,0.48825375586854464,993
42,0.1,5,0.1996,0.8109510086455332,0.33266666666666667,0.4477392251040666,6261
42,0.1,6,0.2262,0.7658921525646646,0.4524,0.4814973841882216,5966
42,0.1,7,0.1845,0.8964941569282137,0.3075,0.4628313856427379,4763
42,0.1,8,0.1014,0.6449136276391555,0.14485714285714285,0.2970569234987661,6298
42,0.1,9,0.2081,0.6424706943192064,0.29728571428571426,0.38261880286830685,3490
